#VERSION,,,,,,,,,,
##Create qccsvout Ver 2.3.1c. (QC to CSV converter),,,,,,,,,,
#FILE_TYPE,,,,,,,,,,
#FILE_SUM,,,,,,,,,,
#FILE_NO,,,,,,,,,,
#FILE_HEAD,,,,,,,,,,
QC_VERSION,,,,,,,,,,
F_TYPE,,,,,,,,,,
#COMMON_HEAD,,,,,,,,,,
TESTER_NAME,,,,,,,,,,
TCP_NAME,,,,,,,,,,
ST_NO,,,,,,,,,,
FACTORY,,,,,,,,,,
CHIP_NAME,,,,,,,,,,
KEY_NO,,,,,,,,,,
LOT_NO,,,,,,,,,,
PROCESS_CODE,,,,,,,,,,
TESTPRO_NAME,,,,,,,,,,
ROM_NO,,,,,,,,,,
PROBE_CARD,,,,,,,,,,
OPERATOR_NAME,,,,,,,,,,
HOSTNAME,,,,,,,,,,
PRE_POST,,,,,,,,,,
QC_FLAG,,,,,,,,,,
SENSESW,,,,,,,,,,
TIME,,,,,,,,,,
LOTSTART_TIME,,,,,,,,,,
START_TIME,,,,,,,,,,
END_TIME,,,,,,,,,,
PASS_CHIP_NUM,,,,,,,,,,
FAIL_CHIP_NUM,,,,,,,,,,
WAFER_NUM,,,,,,,,,,
SLOT,,,,,,,,,,
8,,,,,,,,,,
THEORETICAL_NUM,FILE,7458,,,,,,,,
TSNO,TESTNO,COMMENT,MODE,HILIMIT,LOLIMIT,,,,,
T1,1001,Dummy_Test_1,N,NON,NON,,,,,
T2,1002,Dummy_Test_2,V, 1.23 V, 1.17 V,,,,,
T3,1003,Dummy_Test_3,N,NON,NON,,,,,
T4,1004,Dummy_Test_4,V, 1.45 V, 1.39 V,,,,,
T5,1005,Dummy_Test_5,A, 33.0uA, 28.0uA,,,,,
T6,1006,Dummy_Test_6,S, 12.3nS, 11.7nS,,,,,
T7,1007,Dummy_Test_7,S, 22.0nS, 19.6nS,,,,,
T8,1008,Dummy_Test_8,V, 3.42 V, 3.24 V,,,,,
T9,1009,Dummy_Test_9,V,-1.42 V,-1.62 V,,,,,
T10,1010,Dummy_Test_10,A, 36.0uA, 33.0uA,,,,,
T11,1011,Dummy_Test_11,N,NON,NON,,,,,
T12,1012,Dummy_Test_12,N,NON,NON,,,,,
T13,1013,Dummy_Test_13,N,NON,NON,,,,,
T14,1014,Dummy_Test_14,N,NON,NON,,,,,
T15,1015,Dummy_Test_15,N,NON,NON,,,,,
T16,1016,Dummy_Test_16,N,NON,NON,,,,,
T17,1017,Dummy_Test_17,A, 23.3uA, 19.1uA,,,,,
T18,1018,Dummy_Test_18,A, 64.4uA, 59.4uA,,,,,
T19,1019,Dummy_Test_19,A, 23.3uA, 19.1uA,,,,,
T20,1020,Dummy_Test_20,A, 64.4uA, 59.4uA,,,,,
